image,mean_gap,var_gap,group
3753.pgm,3.948375,390.752460,B
581.pgm,2.120125,2.525695,A
109.pgm,2.257750,29.637315,A
1016.pgm,1.834625,1.087776,A
6939.pgm,2.000750,1.894249,A
8484.pgm,1.950250,1.680525,A
4182.pgm,4.329000,1090.361759,B
2484.pgm,2.078000,24.206416,A
5195.pgm,2.295000,82.091725,A
2031.pgm,2.821500,394.653388,B
9419.pgm,1.896000,1.722184,A
6936.pgm,2.043625,3.878222,A
6062.pgm,2.053625,2.465249,A
8069.pgm,2.011000,3.151629,A
4044.pgm,1.909250,1.463014,A
5238.pgm,1.980625,1.765000,A
3847.pgm,62.307500,93978.423944,C
9649.pgm,1.909000,1.451219,A
6656.pgm,1.953500,1.764088,A
2263.pgm,2.007625,12.936067,A
8888.pgm,1.984000,1.944994,A
7077.pgm,1.875750,1.424312,A
3713.pgm,11.000750,12719.777499,C
557.pgm,8.451000,4074.868849,C
2494.pgm,1.934625,1.620351,A
346.pgm,1.876000,1.430874,A
2028.pgm,1.993375,3.636581,A
1741.pgm,2.842500,287.823694,B
950.pgm,2.078000,2.579916,A
6989.pgm,4.324250,490.645362,B
5844.pgm,2.356125,61.469550,A
8830.pgm,1.971750,3.442952,A
7375.pgm,2.171250,3.020673,A
4951.pgm,1.916750,1.579819,A
4580.pgm,2.048000,8.660696,A
5004.pgm,2.160000,2.585150,A
2869.pgm,1.924375,1.547656,A
9712.pgm,1.898625,1.492348,A
8726.pgm,2.050500,2.159450,A
7967.pgm,2.182500,3.289694,A
1286.pgm,1.946125,2.086972,A
6630.pgm,2.499125,125.288999,A
5644.pgm,1.821750,1.213227,A
861.pgm,2.162375,19.647259,A
5880.pgm,1.969875,1.730717,A
396.pgm,2.017875,2.069555,A
2078.pgm,2.889250,319.134734,B
9404.pgm,2.094000,13.260414,A
5816.pgm,1.928375,1.517995,A
905.pgm,1.948000,1.598546,A
5361.pgm,1.961375,1.798383,A
1988.pgm,2.042750,32.047672,A
2745.pgm,2.846250,203.185361,B
8398.pgm,1.901000,1.449949,A
8558.pgm,1.971625,1.752820,A
7359.pgm,1.938500,1.584968,A
9643.pgm,2.013250,2.028574,A
2300.pgm,2.018875,15.246769,A
4268.pgm,1.988375,15.393490,A
8202.pgm,1.901875,1.529496,A
1773.pgm,2.001250,1.928748,A
6129.pgm,1.993625,1.839584,A
5690.pgm,2.005625,1.934343,A
1126.pgm,7.348250,1951.873972,C
6213.pgm,1.867250,1.903877,A
1827.pgm,1.956875,4.041515,A
6660.pgm,1.833625,1.261194,A
8258.pgm,1.895250,1.478027,A
4905.pgm,1.999125,1.868624,A
9704.pgm,1.980750,1.686129,A
5201.pgm,2.167750,3.824610,A
7799.pgm,1.908875,1.589321,A
1284.pgm,1.868750,1.363273,A
7163.pgm,2.016500,1.964978,A
8771.pgm,1.949875,4.768862,A
2647.pgm,2.050375,5.792587,A
6419.pgm,2.034000,2.033094,A
4286.pgm,1.912625,1.571991,A
2177.pgm,1.870250,1.426415,A
9080.pgm,2.400625,26.158875,A
9519.pgm,1.880250,1.464910,A
9109.pgm,2.031875,2.461109,A
