image,mean_gap,var_gap,group
9830.pgm,2.014375,1.999418,A
4645.pgm,1.891000,1.370869,A
7674.pgm,2.104375,2.581481,A
969.pgm,2.000875,1.833374,A
4045.pgm,1.912375,1.505947,A
637.pgm,2.226250,79.843311,A
6408.pgm,1.918875,1.537294,A
8077.pgm,1.889500,1.383540,A
1538.pgm,1.943250,1.626279,A
4911.pgm,2.620625,61.452700,B
3303.pgm,1.907375,1.728796,A
1369.pgm,1.824000,1.270524,A
6343.pgm,1.984375,1.870881,A
1288.pgm,3.031250,311.706023,B
4770.pgm,1.913750,1.472561,A
1107.pgm,100.674250,287116.530887,C
8740.pgm,1.997500,2.031244,A
307.pgm,116.228250,235501.714902,C
3591.pgm,1.894500,1.458370,A
345.pgm,1.974125,2.228205,A
4635.pgm,2.654000,178.921034,B
7398.pgm,1.904500,1.473630,A
1662.pgm,2.286750,3.627524,A
1551.pgm,2.209125,34.178892,A
3530.pgm,7.613500,3949.600868,C
1459.pgm,2.038625,10.919883,A
5837.pgm,2.465750,101.420827,A
5084.pgm,3.889500,709.824040,B
846.pgm,18.239750,11323.841270,C
6527.pgm,1.912750,1.459637,A
9048.pgm,2.022750,1.904732,A
1720.pgm,1.968500,8.040508,A
295.pgm,1.900875,1.532049,A
816.pgm,29.382250,36363.762635,C
6828.pgm,16.863375,10891.977209,C
9451.pgm,1.925625,1.601093,A
3894.pgm,1.876000,1.454124,A
6225.pgm,2.091125,8.039571,A
4161.pgm,1.895250,2.940527,A
1293.pgm,1.900000,1.489500,A
7011.pgm,201.006250,465639.223711,C
7579.pgm,1.955125,2.013111,A
2601.pgm,2.114750,2.585832,A
9440.pgm,1.975875,2.779043,A
9938.pgm,1.903125,1.530240,A
5936.pgm,8.667375,3801.860236,C
1440.pgm,3.174625,544.057881,B
4617.pgm,1.958250,1.623007,A
6047.pgm,1.983875,1.958865,A
9529.pgm,2.072500,2.349244,A
5389.pgm,1.940750,1.726489,A
3409.pgm,7.107625,1501.131292,C
7064.pgm,1.985500,1.886290,A
8256.pgm,1.996625,1.764364,A
5227.pgm,2.018375,1.928037,A
9191.pgm,2.006125,2.087587,A
4785.pgm,194.882000,507941.335076,C
195.pgm,1.902625,1.505893,A
9050.pgm,2.029875,2.039232,A
1080.pgm,1.902125,1.529795,A
3200.pgm,1.924375,1.484156,A
6996.pgm,1.924000,1.574474,A
8346.pgm,1.902000,1.605396,A
1572.pgm,1.913750,2.127061,A
2403.pgm,2.336625,204.798809,A
7868.pgm,2.069500,3.347170,A
792.pgm,1.972500,1.886244,A
1242.pgm,1.946625,1.564276,A
1799.pgm,1.945875,1.592695,A
5656.pgm,2.098000,9.276146,A
900.pgm,2.030000,5.402600,A
13.pgm,6.626500,4028.376498,C
3421.pgm,2.030750,4.136304,A
4399.pgm,10.734125,10656.146185,C
9924.pgm,1.882125,1.407980,A
5493.pgm,98.243125,98332.841015,C
1023.pgm,1.887750,1.379150,A
328.pgm,1.948875,1.680511,A
5199.pgm,1.888000,1.743706,A
7132.pgm,11.040500,3353.248110,C
7470.pgm,1.943875,1.637475,A
182.pgm,1.952000,1.726946,A
4259.pgm,1.922375,1.563849,A
8220.pgm,1.904750,1.478427,A
2950.pgm,1.880000,1.350850,A
5693.pgm,1.928125,1.585959,A
1513.pgm,1.905000,3.791975,A
3214.pgm,1.882875,1.421407,A
1539.pgm,2.466625,179.143886,A
4157.pgm,1.917500,1.432944,A
4813.pgm,2.028250,2.004702,A
9705.pgm,1.958125,2.661371,A
4302.pgm,1.893125,1.417203,A
3946.pgm,2.571125,198.985441,B
963.pgm,1.999000,3.557999,A
6765.pgm,1.943250,1.796529,A
3061.pgm,1.906500,1.597008,A
3497.pgm,2.860875,170.707769,B
6683.pgm,1.892375,1.440292,A
9382.pgm,1.892625,1.429596,A
1238.pgm,1.917000,1.504611,A
6770.pgm,3.254250,182.428857,B
4299.pgm,1.866625,1.363086,A
6292.pgm,1.945750,1.624307,A
8952.pgm,3.868250,304.683642,B
1253.pgm,4.231500,796.919408,B
7158.pgm,2.052375,2.185632,A
365.pgm,1.964250,1.718472,A
3589.pgm,5.380625,2508.141000,C
591.pgm,2.572000,229.822566,B
1146.pgm,2.010250,1.938145,A
7941.pgm,1.933625,1.609219,A
770.pgm,1.974125,1.691955,A
1857.pgm,1.904375,1.410731,A
8721.pgm,2.143000,33.489801,A
7137.pgm,2.040500,2.076860,A
920.pgm,17.078500,14005.262338,C
1044.pgm,3.142750,76.904372,B
5451.pgm,1.938375,1.615577,A
6743.pgm,1.953750,1.674111,A
875.pgm,2.019875,2.064980,A
1785.pgm,1.963375,2.843284,A
2656.pgm,2.231500,51.786908,A
406.pgm,1.993250,7.022204,A
3718.pgm,190.807000,492865.271501,C
6829.pgm,1.951125,1.850986,A
4994.pgm,3.673625,2180.116104,B
2364.pgm,1.937125,2.437422,A
7117.pgm,240.884375,2906083.341756,C
5323.pgm,1.926000,1.560774,A
5647.pgm,2.066750,2.388294,A
2156.pgm,52.515500,56506.541760,C
5871.pgm,11.039000,2789.333729,C
5777.pgm,1.976750,1.794209,A
1734.pgm,2.206125,4.383137,A
5030.pgm,2.014875,1.957904,A
4589.pgm,1.908125,1.569184,A
9634.pgm,2.042000,2.311486,A
2682.pgm,2.179875,3.160020,A
2241.pgm,1.932250,1.668160,A
3141.pgm,1.891375,1.430826,A
8979.pgm,2.176750,5.870009,A
6018.pgm,2.855500,260.168370,B
44.pgm,1.937625,1.464484,A
1254.pgm,1.988000,1.859106,A
9489.pgm,2.054125,2.324945,A
5496.pgm,1.912375,1.495197,A
9645.pgm,1.932750,1.600227,A
6794.pgm,1.900125,1.438150,A
7938.pgm,1.901625,1.520947,A
387.pgm,2.157750,45.784115,A
9671.pgm,1.976250,1.795936,A
9736.pgm,2.035625,2.703106,A
7080.pgm,8.315250,5067.316117,C
7990.pgm,2.223000,54.236021,A
9703.pgm,2.057250,2.891972,A
6403.pgm,1.954375,1.642543,A
9852.pgm,1.938625,1.799108,A
2063.pgm,1.948750,2.311123,A
8277.pgm,1.913500,1.589018,A
7845.pgm,2.165250,4.829692,A
1281.pgm,1.959250,6.679589,A
8880.pgm,2.040500,4.420860,A
4946.pgm,1.870750,1.390544,A
9638.pgm,2.036000,7.515954,A
3313.pgm,1.958250,1.650257,A
8856.pgm,1.901375,1.506398,A
4853.pgm,1.973750,1.724561,A
6060.pgm,2.186500,10.970468,A
2138.pgm,2.153250,2.694264,A
4109.pgm,1.883500,1.459678,A
1090.pgm,1.877875,1.389960,A
2809.pgm,1.954875,2.244089,A
7494.pgm,1.976375,2.010067,A
3715.pgm,1.983500,8.212228,A
4563.pgm,2.010250,1.869145,A
5902.pgm,2.060625,2.094950,A
1413.pgm,1.907750,1.539740,A
808.pgm,1.979625,1.784710,A
7112.pgm,4.618125,1429.792796,B
7547.pgm,2.068000,3.145376,A
2619.pgm,2.075375,2.500444,A
6401.pgm,1.852625,1.270156,A
7243.pgm,2.226000,4.998674,A
267.pgm,16.021750,5536.322777,C
1753.pgm,1.992375,6.994317,A
3849.pgm,1.953250,1.708064,A
8156.pgm,1.950250,1.713275,A
208.pgm,17.575375,43865.566819,C
4383.pgm,1.913875,1.450957,A
9354.pgm,1.874625,1.443656,A
881.pgm,2.136500,10.858868,A
1123.pgm,1.900250,1.455300,A
1052.pgm,1.914500,1.572940,A
3419.pgm,1.910375,1.499092,A
9322.pgm,1.992625,1.876071,A
8625.pgm,1.899250,1.441099,A
5164.pgm,1.951875,1.855059,A
7484.pgm,1.979250,1.850069,A
7468.pgm,2.251375,3.305436,A
5653.pgm,1.991250,1.873923,A
4424.pgm,1.959250,1.704589,A
5911.pgm,2.048875,2.139736,A
7716.pgm,4.944875,879.960836,B
6336.pgm,1.866750,1.357244,A
8804.pgm,2.327875,18.219873,A
5926.pgm,18.782375,15364.344764,C
8538.pgm,2.134000,3.086294,A
5208.pgm,2.523875,46.859180,B
4036.pgm,1.906750,1.484054,A
6776.pgm,15.962625,5138.875728,C
7626.pgm,1.982625,5.509073,A
5023.pgm,2.071625,2.496245,A
7044.pgm,1.789000,1.096479,A
8021.pgm,1.805000,1.095975,A
5054.pgm,1.928875,1.599566,A
9165.pgm,2.088625,8.182771,A
2348.pgm,146.759500,442336.454410,C
2854.pgm,1.946500,1.656138,A
4955.pgm,1.963875,1.687820,A
6187.pgm,2.011875,1.969234,A
938.pgm,2.001000,1.844749,A
2927.pgm,1.957375,1.584308,A
3632.pgm,2.184750,29.611867,A
1498.pgm,8.128250,1043.011052,C
5134.pgm,1.841500,1.310628,A
7679.pgm,2.149250,15.673974,A
9091.pgm,2.061500,2.234718,A
5071.pgm,2.240250,40.826780,A
7653.pgm,21.451750,9563.313922,C
2325.pgm,1.971000,1.726659,A
5231.pgm,1.882875,1.388907,A
6978.pgm,1.970625,1.868012,A
9758.pgm,1.982375,5.291064,A
4470.pgm,5.200250,1232.771400,C
4361.pgm,2.378750,86.097048,A
9832.pgm,2.180250,2.683260,A
6529.pgm,1.864000,1.327754,A
725.pgm,15.003250,8760.984239,C
9023.pgm,1.970625,1.889262,A
2669.pgm,1.940750,1.649489,A
1731.pgm,2.381500,75.750708,A
6832.pgm,1.848500,1.281548,A
6525.pgm,1.925625,1.569843,A
9312.pgm,1.965000,1.807275,A
5090.pgm,1.876500,1.409248,A
9321.pgm,1.973250,1.767784,A
6606.pgm,1.864375,1.354731,A
3709.pgm,25.255250,37680.695097,C
1770.pgm,1.908625,1.692776,A
2953.pgm,1.872000,1.367116,A
8056.pgm,1.892250,2.013890,A
1338.pgm,8.866250,4204.724861,C
2638.pgm,2.008875,1.984546,A
7506.pgm,2.055375,2.157809,A
6070.pgm,2.020125,2.073470,A
9965.pgm,2.070000,2.568350,A
2087.pgm,4.609125,1282.071842,B
8222.pgm,1.901375,1.489648,A
3331.pgm,1.910875,1.450432,A
2097.pgm,1.954625,2.194816,A
1697.pgm,2.051000,2.188649,A
2426.pgm,1.904125,1.464683,A
5179.pgm,1.918375,1.539212,A
2059.pgm,1.997250,2.462492,A
4906.pgm,1.966500,2.004628,A
1944.pgm,1.985000,1.769525,A
